Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
BANCOINDIA,Sell,654.55,661.0499877929688,707.53,600.11
CRAFTSMAN,Sell,8760.81,9166.814140834307,9576.1,8475.83
FIVESTAR,Buy,444.64,444.29,395.5,460.79
JAMNAAUTO,Sell,125.98,128.89999389648438,138.96,114.24
JINDRILL,Buy,603.05,601.6,554.39,665.89
NETWEB,Sell,4617.22,4688.877212176449,5143.43,3941.05
NUVAMA,Sell,1557.0,1567.699951171875,1641.94,1465.01
PPL,Sell,192.8,205.0,223.02,186.09
SHAKTIPUMP,Sell,512.21,527.581220999902,552.24,498.18
UCAL,Sell,98.98,99.19999694824219,106.35,91.64
