signal_date,symbol,side,cbt,entry,stoploss,target,status,exit_date,exit_price,max_profit_pct,max_drawdown_pct,days_held,pnl_pct,last_price,last_date
2026-07-31,CHRW,buy,147.73,145.0,134.57,178.42,Open,,,8.74,2.59,32,,147.88,2026-09-01
2026-07-31,CLSK,sell,13.76,15.03499984741211,16.58,12.69,TP Hit,2026-08-06,12.69,16.79,0.5,6,15.6,12.69,2026-08-06
2026-07-31,HWKN,buy,127.83,126.88,112.33,144.99,Open,,,8.16,8.54,32,,124.58,2026-09-01
2026-07-31,LSTR,buy,174.37,170.41,160.18,194.17,Open,,,13.85,0.58,32,,175.41,2026-09-01
2026-07-31,OMC,buy,78.7,78.4,73.39,85.21,TP Hit,2026-08-07,85.21,9.07,0.38,7,8.69,85.21,2026-08-07
2026-07-31,PWR,sell,667.36,679.1400146484375,721.45,577.95,SL Hit,2026-08-17,721.45,3.66,6.72,17,-6.23,721.45,2026-08-17
2026-07-31,RSI,buy,26.91,26.71,24.02,29.2,Open,,,8.31,9.47,32,,25.75,2026-09-01
2026-07-31,TEX,buy,62.68,62.34,57.05,68.37,TP Hit,2026-08-10,68.37,10.59,0.55,10,9.67,68.37,2026-08-10
2026-07-31,TRV,buy,374.36,373.99,360.01,390.12,SL Hit,2026-08-20,360.01,3.37,4.04,20,-3.74,360.01,2026-08-20
2026-07-31,TSCO,buy,30.56,29.96,28.16,31.24,TP Hit,2026-08-03,31.24,7.38,-0.03,3,4.27,31.24,2026-08-03
2026-07-31,WDC,sell,544.84,569.1099853515625,634.07,452.76,TP Hit,2026-08-06,452.76,28.4,1.91,6,20.44,452.76,2026-08-06
2026-08-03,HUN,buy,10.02,9.78,8.94,11.79,Open,,,8.38,4.6,29,,9.39,2026-09-01
2026-08-03,INSM,buy,98.45,98.2,92.31,104.61,TP Hit,2026-08-06,104.61,40.22,1.81,3,6.53,104.61,2026-08-06
2026-08-05,ALAB,sell,318.43,348.364990234375,406.19,267.66,TP Hit,2026-08-24,267.66,23.55,2.19,19,23.17,267.66,2026-08-24
2026-08-05,ALG,sell,167.78,169.32000732421875,179.96,155.34,Open,,,6.21,2.32,27,,164.1,2026-09-01
2026-08-05,AMD,sell,482.05,484.5,570.52,455.29,TP Hit,2026-08-24,455.29,6.91,6.78,19,6.03,455.29,2026-08-24
2026-08-05,DELL,sell,462.7,466.6000061035156,520.56,380.73,Open,,,10.78,10.16,27,,425.0,2026-09-01
2026-08-05,DOCN,sell,124.46,125.69999694824219,150.15,115.01,TP Hit,2026-08-19,115.01,10.5,10.03,14,8.5,115.01,2026-08-19
2026-08-05,GS,sell,1055.21,1058.5256405436016,1108.76,998.96,TP Hit,2026-09-01,998.96,5.81,1.77,27,5.63,998.96,2026-09-01
2026-08-05,IBTA,sell,35.32,37.599998474121094,41.44,26.56,Open,,,12.53,6.14,27,,37.27,2026-09-01
2026-08-05,KN,sell,39.53,40.040000915527344,42.68,35.3,TP Hit,2026-08-19,35.3,13.59,1.95,14,11.84,35.3,2026-08-19
2026-08-05,ONTO,sell,276.0,284.3699951171875,320.58,235.97,SL Hit,2026-08-12,320.58,8.53,20.82,7,-12.73,320.58,2026-08-12
2026-08-05,PDFS,sell,49.46,50.31999969482422,56.17,44.2,TP Hit,2026-08-20,44.2,14.25,6.18,15,12.16,44.2,2026-08-20
2026-08-05,QLYS,sell,183.25,198.4199981689453,212.3,139.59,Open,,,12.94,1.57,27,,177.01,2026-09-01
2026-08-05,SMTC,sell,121.25,126.8499984741211,141.91,111.17,SL Hit,2026-08-07,141.91,7.37,13.32,2,-11.87,141.91,2026-08-07
2026-08-05,TH,sell,15.76,16.0,17.11,14.8,SL Hit,2026-08-10,17.11,6.12,9.63,5,-6.94,17.11,2026-08-10
2026-08-05,WFRD,sell,87.25,89.67736298986155,94.19,84.02,SL Hit,2026-08-11,94.19,3.94,5.38,6,-5.03,94.19,2026-08-11
2026-08-05,WING,buy,123.5,120.91,110.1,135.45,SL Hit,2026-08-27,110.1,4.41,12.8,22,-8.94,110.1,2026-08-27
2026-08-06,BL,buy,30.0,29.68,27.65,32.6,SL Hit,2026-08-12,27.65,6.03,7.01,6,-6.84,27.65,2026-08-12
2026-08-06,CDE,sell,15.65,16.0,18.65,15.5,TP Hit,2026-08-06,15.5,3.44,2.75,0,3.12,15.5,2026-08-06
2026-08-06,IDCC,sell,328.41,331.57000732421875,348.46,284.37,SL Hit,2026-08-10,348.46,1.36,5.96,4,-5.09,348.46,2026-08-10
2026-08-06,KRUS,sell,48.56,48.779998779296875,52.51,46.63,SL Hit,2026-08-12,52.51,3.44,7.97,6,-7.65,52.51,2026-08-12
