signal_date,symbol,side,entry,stoploss,target,pnl_pct,reentry_date,reentry_side,reentry_entry,reentry_sl,reentry_tp,reentry_status,reentry_exit_date,reentry_exit_price,reentry_pnl_pct
2026-05-12,PARKHOTELS,buy,128.4,118.84,131.82,-7.45,2026-05-18,Green,119.53,111.8599,128.4296,SL Hit,2026-06-11,111.8599,-6.42
2026-05-14,SOUTHWEST,sell,234.0,259.09,218.16,-10.72,2026-05-19,Red,249.55,277.0608,222.7927,TP Hit,2026-06-25,222.7927,10.72
2026-05-14,JAYSREETEA,buy,90.98,83.96,96.33,-7.72,2026-05-21,Green,85.24,80.3372,91.8171,TP Hit,2026-06-22,91.8171,7.72
2026-05-18,ASIANENE,sell,314.1000061035156,344.28,299.2,-9.61,2026-05-25,Red,358.25,395.5321,323.8279,TP Hit,2026-07-08,323.8279,9.61
2026-05-14,JARO,sell,521.8101097105874,547.79,405.24,-4.98,2026-05-25,Red,578.25,621.2152,549.4601,TP Hit,2026-06-08,549.4601,4.98
2026-05-20,SPIC,sell,70.0,75.66,67.07,-8.09,2026-05-25,Red,71.81,78.011,66.0036,TP Hit,2026-07-20,66.0036,8.09
2026-05-13,ZOTA,buy,1190.0,1120.74,1307.37,-5.82,2026-05-26,Green,1172.2,1074.5579,1240.424,TP Hit,2026-06-05,1240.424,5.82
2026-05-25,VENUSPIPES,sell,1425.0,1518.28,1308.28,-6.55,2026-05-27,Red,1450.1,1582.7453,1355.1769,TP Hit,2026-06-11,1355.1769,6.55
2026-05-25,PACEDIGITK,sell,193.8000030517578,203.44,178.11,-4.97,2026-05-29,Red,189.94,212.6818,180.492,TP Hit,2026-06-02,180.492,4.97
2026-05-26,GIPCL,sell,157.4499969482422,164.88,148.62,-4.72,2026-06-01,Red,162.46,174.9238,154.7936,SL Hit,2026-06-02,174.9238,-7.67
2026-05-25,JAYAGROGN,sell,229.31778163860426,241.1,210.76,-5.14,2026-06-01,Red,231.55,253.7648,219.6531,TP Hit,2026-06-05,219.6531,5.14
2026-05-20,KOPRAN,sell,166.83521971081174,187.81,150.69,-12.57,2026-06-01,Red,195.96,213.4881,171.3236,SL Hit,2026-06-23,213.4881,-8.94
2026-05-19,NURECA,buy,272.9,254.99,290.56,-6.56,2026-06-01,Green,240.05,220.0724,255.8041,TP Hit,2026-07-14,255.8041,6.56
2026-05-26,SKYGOLD,sell,489.3500061035156,520.48,440.14,-6.36,2026-06-01,Red,522.0,567.0776,488.793,SL Hit,2026-06-03,567.0776,-8.64
2026-05-19,IRMENERGY,buy,278.0,256.88,346.16,-7.6,2026-06-02,Green,268.4,241.4445,288.7907,TP Hit,2026-06-16,288.7907,7.6
2026-05-12,MUTHOOTMF,buy,188.2,173.94,210.82,-7.58,2026-06-02,Green,179.6,163.9225,193.2084,TP Hit,2026-06-15,193.2084,7.58
2026-05-19,PRAJIND,buy,359.97,336.38,403.08,-6.55,2026-06-02,Green,348.55,317.3942,371.3916,SL Hit,2026-07-24,317.3942,-8.94
2026-05-20,TECHM,sell,1416.7818092236696,1512.68,1327.75,-6.77,2026-06-03,Red,1472.3,1598.2416,1372.644,TP Hit,2026-06-19,1372.644,6.77
2026-05-19,MANYAVAR,buy,431.4,403.98,464.25,-6.36,2026-06-04,Green,400.15,382.3564,425.5837,SL Hit,2026-07-08,382.3564,-4.45
2026-06-02,ANANTRAJ,sell,559.0813822329338,582.18,486.07,-4.13,2026-06-05,Red,570.05,619.6831,546.4982,TP Hit,2026-06-08,546.4982,4.13
2026-05-27,HSCL,sell,607.9000244140625,654.91,565.91,-7.73,2026-06-08,Red,667.2,727.1188,615.6043,SL Hit,2026-07-16,727.1188,-8.98
2026-06-02,LLOYDSENT,buy,67.57,63.86,74.06,-5.49,2026-06-09,Green,67.9,61.1877,71.6281,TP Hit,2026-06-16,71.6281,5.49
2026-06-01,PPL,sell,205.0,223.02,186.09,-8.79,2026-06-10,Red,236.49,257.1945,215.702,SL Hit,2026-06-15,257.1945,-8.75
2026-06-02,ARFIN,buy,88.85,82.73,94.78,-6.89,2026-06-11,Green,83.14,74.2818,88.8667,TP Hit,2026-06-15,88.8667,6.89
2026-05-19,BALUFORGE,buy,464.0,430.53,526.37,-7.21,2026-06-12,Green,448.8,409.0543,481.1736,TP Hit,2026-06-23,481.1736,7.21
2026-05-19,CAMS,buy,767.97,732.92,815.44,-4.56,2026-06-12,Green,757.55,710.5381,792.1244,TP Hit,2026-06-16,792.1244,4.56
2026-05-25,GENESYS,sell,276.04998779296875,304.3,215.48,-10.23,2026-06-12,Red,317.7,359.4535,285.1877,SL Hit,2026-06-18,359.4535,-13.14
2026-06-02,IONEXCHANG,buy,352.75,332.39,391.65,-5.77,2026-06-12,Green,345.6,319.3077,365.5473,TP Hit,2026-06-16,365.5473,5.77
2026-06-02,MTARTECH,buy,7145.0,6346.08,8036.62,-11.18,2026-06-12,Green,7159.5,5979.6374,7960.0413,TP Hit,2026-06-17,7960.0413,11.18
2026-05-11,PPAP,sell,245.0,262.17,204.52,-7.01,2026-06-12,Red,248.9,279.7765,231.4567,TP Hit,2026-06-25,231.4567,7.01
2026-05-19,VENTIVE,buy,638.95,604.08,666.45,-5.46,2026-06-12,Green,619.5,592.14,653.3085,TP Hit,2026-06-15,653.3085,5.46
2026-05-27,KRBL,sell,363.29998779296875,383.8,334.51,-5.64,2026-06-15,Red,374.55,400.5493,353.4152,TP Hit,2026-07-14,353.4152,5.64
2026-06-01,SHAKTIPUMP,sell,527.581220999902,552.24,498.18,-4.67,2026-06-15,Red,546.3,581.2416,520.7663,SL Hit,2026-06-23,581.2416,-6.4
2026-05-27,GALAPREC,sell,945.0,988.35,848.16,-4.59,2026-06-16,Red,1043.85,1126.4781,995.9654,SL Hit,2026-06-22,1126.4781,-7.92
2026-06-01,NUVAMA,sell,1567.699951171875,1641.94,1465.01,-4.74,2026-06-16,Red,1660.7,1730.1595,1582.0558,SL Hit,2026-06-17,1730.1595,-4.18
2026-06-05,CGCL,sell,203.0,214.62,187.57,-5.72,2026-06-17,Red,217.28,227.4137,204.8426,SL Hit,2026-06-30,227.4137,-4.66
2026-06-10,RAYMONDLSL,sell,771.0787546972134,827.79,733.61,-7.35,2026-06-17,Red,817.35,854.5448,757.2356,TP Hit,2026-07-07,757.2356,7.35
2026-06-01,CRAFTSMAN,sell,9166.814140834307,9576.1,8475.83,-4.46,2026-06-18,Red,9500.0,9954.2555,9075.8378,TP Hit,2026-07-06,9075.8378,4.46
2026-06-05,CRAFTSMAN,sell,9189.286018404406,9623.68,8475.83,-4.73,2026-06-18,Red,9500.0,9954.2555,9050.918,TP Hit,2026-07-06,9050.918,4.73
2026-05-25,DIXON,sell,11850.0,12308.73,10405.62,-3.87,2026-06-18,Red,12666.0,13322.9192,12175.6815,TP Hit,2026-06-23,12175.6815,3.87
