signal_date,symbol,side,cbt,entry,stoploss,target,status,exit_date,exit_price,max_profit_pct,max_drawdown_pct,days_held,pnl_pct,last_price,last_date,reentry_date,reentry_side,reentry_entry,reentry_sl,reentry_tp
2026-07-24,FINPIPE,buy,163.67,159.5,153.68,191.5,SL Hit,2026-09-02,153.68,7.84,4.38,40,-3.65,153.68,2026-09-02,2026-09-02,Green,157.84,148.6724,163.5994
2026-07-27,RELTD,buy,174.03,173.4,159.66,183.32,SL Hit,2026-08-17,159.66,3.43,10.28,21,-7.92,159.66,2026-08-17,2026-08-17,Green,159.87,148.1408,172.5379
2026-07-29,SOUTHWEST,buy,229.76,226.72,213.7,248.82,SL Hit,2026-08-25,213.7,9.6,10.86,27,-5.74,213.7,2026-08-25,2026-08-26,Green,211.66,194.1426,223.8151
2026-07-30,ARTEMISMED,sell,302.15,302.95001220703125,318.07,271.66,SL Hit,2026-08-05,318.07,2.36,7.25,6,-4.99,318.07,2026-08-05,2026-08-06,Red,311.7,335.3767,296.1433
2026-07-30,EXPLEOSOL,sell,796.6,817.2047402612707,887.19,706.68,SL Hit,2026-07-30,887.19,-10.25,15.95,0,-8.56,887.19,2026-07-30,2026-07-30,Red,906.6,981.8415,828.9589
2026-07-30,KAYNES,sell,3621.5,3650.0,3862.2,3206.05,SL Hit,2026-08-03,3862.2,2.02,5.94,4,-5.81,3862.2,2026-08-03,2026-08-03,Red,3805.0,4009.2411,3583.7888
2026-07-30,OFSS,sell,11136.0,11424.0,12137.09,10339.38,SL Hit,2026-08-28,12137.09,4.74,7.45,29,-6.24,12137.09,2026-08-28,2026-09-01,Red,12187.0,12726.5541,11426.2833
2026-07-30,PNGSREVA,sell,432.9,452.5,501.88,387.14,SL Hit,2026-08-04,501.88,8.65,14.92,5,-10.91,501.88,2026-08-04,2026-08-05,Red,510.95,561.8225,455.1915
2026-07-30,SHILCTECH,sell,4479.7,4508.4198616395215,4738.35,4185.16,SL Hit,2026-08-10,4738.35,1.63,5.36,11,-5.1,4738.35,2026-08-10,2026-08-11,Red,4581.7002,4848.3558,4348.0327
2026-07-31,COMSYN,sell,214.81,216.0,244.06,184.01,SL Hit,2026-08-10,244.06,5.33,24.9,10,-12.99,244.06,2026-08-10,2026-08-11,Red,267.55,299.6843,232.7933
2026-07-31,REMSONSIND,sell,83.19,85.0,88.63,78.19,SL Hit,2026-08-06,88.63,3.82,6.82,6,-4.27,88.63,2026-08-06,2026-08-10,Red,88.71,95.1246,84.9216
2026-07-31,TATATECH,sell,747.65,751.7999877929688,803.08,713.88,SL Hit,2026-08-06,803.08,2.5,7.18,6,-6.82,803.08,2026-08-06,2026-08-11,Red,865.2,927.5228,806.185
2026-08-03,KAYNES,sell,3805.0,3830.0,4001.73,3175.68,SL Hit,2026-08-26,4001.73,7.7,7.52,23,-4.48,4001.73,2026-08-26,2026-08-27,Red,4018.8,4254.088,3838.6046
2026-08-03,ONEPOINT,sell,56.9,58.0,60.46,54.85,SL Hit,2026-08-07,60.46,3.26,5.6,4,-4.24,60.46,2026-08-07,2026-08-10,Red,58.81,63.4049,56.3156
2026-08-04,CHENNPETRO,sell,1270.3,1285.9232571163486,1354.62,1157.45,SL Hit,2026-08-11,1354.62,5.1,12.68,7,-5.34,1354.62,2026-08-11,2026-08-12,Red,1379.5,1521.6044,1305.8042
2026-08-04,PAYTM,sell,1400.0,1436.0,1484.04,1287.13,SL Hit,2026-08-10,1484.04,3.31,11.32,6,-3.35,1484.04,2026-08-10,2026-08-14,Red,1603.0,1712.1746,1549.3732
2026-08-05,MAGADSUGAR,sell,512.25,538.75,600.67,466.01,SL Hit,2026-08-20,600.67,6.26,17.31,15,-11.49,600.67,2026-08-20,2026-08-24,Red,601.05,665.2016,531.9697
2026-08-06,VSSL,sell,330.59,331.4282755511589,359.18,300.08,SL Hit,2026-08-17,359.18,1.74,13.43,11,-8.37,359.18,2026-08-17,2026-08-18,Red,359.2,379.4127,329.1229
2026-08-07,HAL,sell,4900.07,4915.040467178748,5064.91,4315.78,SL Hit,2026-08-17,5064.91,2.27,4.78,10,-3.05,5064.91,2026-08-17,2026-08-19,Red,5017.0,5201.3171,4864.0215
2026-08-10,LUMAXTECH,sell,1738.2,1742.0,1814.5,1643.23,SL Hit,2026-08-11,1814.5,1.76,19.74,1,-4.16,1814.5,2026-08-11,2026-08-12,Red,2039.3,2184.2313,1954.4268
2026-08-11,DHUNINV,sell,961.72,972.988262864312,1052.61,879.84,SL Hit,2026-08-13,1052.61,2.16,17.99,2,-8.18,1052.61,2026-08-13,2026-08-17,Red,1014.65,1123.9986,931.619
2026-08-11,DWARKESH,sell,41.68,42.130001068115234,44.35,38.21,SL Hit,2026-08-14,44.35,2.37,5.58,3,-5.27,44.35,2026-08-14,2026-08-18,Red,44.64,48.9858,42.2877
2026-08-12,LUMAXIND,sell,5966.0,6069.5,6400.65,5390.58,SL Hit,2026-09-01,6400.65,8.48,7.83,20,-5.46,6400.65,2026-09-01,2026-09-02,Red,6347.0,6851.1442,6000.7097
